Name,id,HOMO,LUMO,E_S1,f_S1,E_T1,dEST
4CzIPN,3a,-0.20639,-0.0888,3.263,0.1845,3.033,0.23
4tBuCzIPN,3b,-0.19621,-0.08203,3.1893,0.122,2.9803,0.209
4MeCzIPN,3c,-0.19686,-0.08286,3.1738,0.1882,2.9538,0.22
4BrCzIPN,3d,-0.2236,-0.11433,3.1934,0.1257,3.0271,0.1663
4OMeCzIPN,3e,-0.1854,-0.07855,3.045,0.1673,2.8555,0.1895
4PhCzIPN,3f,-0.19569,-0.09205,3.128,0.0222,3.0438,0.0842
4DPAIPN,3g,-0.19312,-0.07487,3.1335,0.1753,2.7578,0.3757
4tBuDPAIPN,3h,-0.18604,-0.07052,3.033,0.1288,2.7092,0.3238
4MeDPAIPN,3i,-0.17956,-0.06622,3.0277,0.203,2.7414,0.2863
4FDPAIPN,3j,-0.19846,-0.08545,3.0469,0.1746,2.6241,0.4228
4ClDPAIPN,3k,-0.21058,-0.09706,3.0925,0.2164,2.8025,0.29
4BrDPAIPN,3l,-0.21247,-0.09943,3.0959,0.1975,2.7429,0.353
3CzClIPN,4a,-0.21353,-0.09727,3.1979,0.1606,3.0508,0.1471
3tBuCzClIPN,4b,-0.20437,-0.09025,3.2321,0.1433,2.9647,0.2674
3OMeCzClIPN,4c,-0.19139,-0.08693,3.0713,0.1491,2.8161,0.2552
4CzPN,5a,-0.20875,-0.09408,3.3215,0.0595,2.9977,0.3238
4DPAPN,5b,-0.19091,-0.07659,3.1122,0.0359,2.7239,0.3883
4CzTPN,6a,-0.20627,-0.0993,3.0841,0.2607,2.86,0.2241
4DPATPN,6b,-0.18716,-0.07998,2.8212,0.2368,2.4316,0.3896
1CzTRZ,7a,-0.19896,-0.07101,3.8466,0.8053,3.3406,0.506
1tBuCzTRZ,7b,-0.19256,-0.06941,3.7263,0.8412,3.262,0.4643
1DPATRZ,7c,-0.18787,-0.06162,3.5679,1.1245,2.9505,0.6174
1tBuDPATRZ,7d,-0.18284,-0.05984,3.5003,1.1631,2.8961,0.6042
1ClDPATRZ,7e,-0.19729,-0.06844,3.6208,1.1098,3.022,0.5988
1BrDPATRZ,7f,-0.19686,-0.06856,3.6187,1.1204,3.0285,0.5902
1OMeDPATRZ,7g,-0.17664,-0.05799,3.4672,1.1775,2.8529,0.6143
1PhDPATRZ,7h,-0.18459,-0.06306,3.4632,1.226,2.9169,0.5463
1PTZTRZ,7i,-0.18237,-0.07461,3.5521,0.0001,3.4654,0.0867
2CzBP,8a,-0.20318,-0.07263,3.7105,0.018,3.2,0.5105
2DPABP,8b,-0.18647,-0.05342,3.6146,1.1666,3.0476,0.567
2tBuDPABP,8c,-0.18033,-0.04947,3.555,1.2254,3.0124,0.5426
2MeDPABP,8d,-0.18065,-0.04943,3.5655,1.221,3.0017,0.5638
2ClDPABP,8e,-0.19983,-0.06696,3.6432,1.1914,3.0588,0.5844
2BrDPABP,8f,-0.19934,-0.06713,3.6379,1.2121,3.061,0.5769
2PhDPABP,8g,-0.18364,-0.05648,3.4944,1.3802,3.0058,0.4886
2CzPN,9a,-0.21408,-0.09153,3.5258,0.1332,3.1202,0.4056
2tBuCzPN,9b,-0.20513,-0.08754,3.3864,0.1163,3.0249,0.3615
2ClCzPN,9c,-0.22798,-0.10735,3.5481,0.1016,3.1826,0.3655
1tBuDPAN,10a,-0.17692,-0.03796,3.7102,0.215,3.0394,0.6708
PNZN,10b,-0.17142,-0.04905,3.5257,0,3.3342,0.1915
PTZN,10c,-0.17982,-0.04987,3.7601,0.0003,3.3275,0.4326
PhPTZN,10d,-0.17757,-0.05223,3.6243,0.4231,3.1182,0.5061
CF3PTZN,10e,-0.18961,-0.0591,3.616,0.3568,3.1037,0.5123
2DPAN,11a,-0.17654,-0.04474,3.4935,0.3989,2.8244,0.6691
2tBuDPAN,11b,-0.17028,-0.04135,3.412,0.417,2.784,0.628
2MeDPAN,11c,-0.16909,-0.04084,3.3763,0.3983,2.7522,0.6241
2DPAA,12a,-0.17836,-0.06945,2.9743,0.2827,2.1241,0.8502
2tBuDPAA,12b,-0.17252,-0.0666,2.8808,0.2787,2.1027,0.7781
2MeDPAA,12c,-0.17204,-0.06625,2.8749,0.2705,2.1007,0.7742
2OMeDPAA,12d,-0.16348,-0.0643,2.7221,0.2513,2.0389,0.6832
3CzNB,13a,-0.20716,-0.08754,3.4182,0.0664,3.0551,0.3631
3DPANB,13b,-0.18594,-0.06772,3.1979,0.0893,2.9176,0.2803
3MeDPANB,13c,-0.17746,-0.05853,3.1378,0.118,2.832,0.3058
3BrDPANB,13d,-0.20296,-0.08203,3.2478,0.1266,2.8964,0.3514
2CzAQ,14a,-0.20593,-0.1085,3.1025,0,2.7358,0.3667
2DPAAQ,14b,-0.19071,-0.08747,2.9801,0,2.4274,0.5527
3DPA2FBN,15,-0.18763,-0.0591,3.3304,0.2506,2.9793,0.3511
5CzBN,16,-0.20063,-0.07542,3.5366,0.2738,3.2477,0.2889
2DPABz,17,-0.19069,-0.06958,3.0231,0.0036,2.5871,0.436
DPABT,18,-0.18556,-0.05394,3.577,1.2966,2.8871,0.6899
